bar_index,equity,peak,drawdown_pct,bar_return,rolling_sharpe_60
319,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-7.219707260410446
320,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
321,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
322,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
323,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
324,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
325,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
326,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
327,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
328,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
329,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
330,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
331,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
332,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
333,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
334,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
335,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
336,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
337,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
338,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
339,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
340,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
341,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
342,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.6967121235978615
343,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-5.969592751882702
344,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,-6.043591647356742
345,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,0.0
346,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,0.0
347,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,0.0
348,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,0.0
349,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,0.0
350,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,0.0
351,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,0.0
352,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,0.0
353,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,0.0
354,10000.349957860433,10215.006032079598,2.1013798087348246,0.0,0.0
